label
replace
rename
gen
drop
local
cap
la
egen
keep
save
tab
disp
sum
destring
use
tempfile
restore
preserve
bys
format
sort
forvalues
merge
graph
list
capture
tostring
reg
set
ren
count
global
import
clear
qui
collapse
order
eststo
reshape
cd
append
exit
eststo
lincom
tex
display
ttest
end
estat
quiet
esttab
program
tsset
xtile
twoway
export
by
window
levelsof
scalar
version
corr
insheet
sem
matrix
gsort
mdesc
duplicates
total
xi
generate
predict
logit
"ds,"
#delimit
fsum
do
hist
des
areg
isid
log
assert
ssc
bysort
xtreg
"truecrypt,"
cdP
split
truecrypt
distinct
ds
pause
carryforward
describe
"esttab,"
/*EOF*/
erase
"syntax,"
expand
syntax
recode
tokenize
log2html
codebook
qui
tabstat
"eststo,"
saveold
putexcel
scatter
shell
encode
pwcorr
renvars
ci
mat
di
statsby
goal
macro
old
"sem,"
mi
regress
mkdir
tabout
esttab
copy
args
installado
